dt,AverageTemperature,City,Latitude,Longitude,month,year,Average 20 years,gap1,gap2
7/1/1990,14.753,Sydney,34.56S,151.78E,7,1990,,,
8/1/1990,14.165,Sydney,34.56S,151.78E,8,1990,,,
9/1/1990,14.952,Sydney,34.56S,151.78E,9,1990,,,
10/1/1990,16.39,Sydney,34.56S,151.78E,10,1990,,,
11/1/1990,18.092,Sydney,34.56S,151.78E,11,1990,,,
12/1/1990,21.126,Sydney,34.56S,151.78E,12,1990,,,
1/1/1991,21.805,Sydney,34.56S,151.78E,1,1991,,,
2/1/1991,21.554,Sydney,34.56S,151.78E,2,1991,,,
3/1/1991,20.148,Sydney,34.56S,151.78E,3,1991,,,
4/1/1991,17.984,Sydney,34.56S,151.78E,4,1991,,,
5/1/1991,17.242,Sydney,34.56S,151.78E,5,1991,,,
6/1/1991,17.397,Sydney,34.56S,151.78E,6,1991,,,
7/1/1991,14.546,Sydney,34.56S,151.78E,7,1991,,,
8/1/1991,14.728,Sydney,34.56S,151.78E,8,1991,,,
9/1/1991,15.708,Sydney,34.56S,151.78E,9,1991,,,
10/1/1991,17.7,Sydney,34.56S,151.78E,10,1991,,,
11/1/1991,17.271,Sydney,34.56S,151.78E,11,1991,,,
12/1/1991,18.093,Sydney,34.56S,151.78E,12,1991,,,
1/1/1992,18.9,Sydney,34.56S,151.78E,1,1992,,,
2/1/1992,19.129,Sydney,34.56S,151.78E,2,1992,,,
3/1/1992,19.98,Sydney,34.56S,151.78E,3,1992,,,
4/1/1992,18.121,Sydney,34.56S,151.78E,4,1992,,,
5/1/1992,17.063,Sydney,34.56S,151.78E,5,1992,,,
6/1/1992,14.709,Sydney,34.56S,151.78E,6,1992,,,
7/1/1992,14.779,Sydney,34.56S,151.78E,7,1992,,,
8/1/1992,14.369,Sydney,34.56S,151.78E,8,1992,,,
9/1/1992,14.78,Sydney,34.56S,151.78E,9,1992,,,
10/1/1992,16.08,Sydney,34.56S,151.78E,10,1992,,,
11/1/1992,16.677,Sydney,34.56S,151.78E,11,1992,,,
12/1/1992,18.111,Sydney,34.56S,151.78E,12,1992,,,
1/1/1993,20.557,Sydney,34.56S,151.78E,1,1993,,,
2/1/1993,20.529,Sydney,34.56S,151.78E,2,1993,,,
3/1/1993,18.86,Sydney,34.56S,151.78E,3,1993,,,
4/1/1993,18.688,Sydney,34.56S,151.78E,4,1993,,,
5/1/1993,16.914,Sydney,34.56S,151.78E,5,1993,,,
6/1/1993,14.728,Sydney,34.56S,151.78E,6,1993,,,
7/1/1993,15.479,Sydney,34.56S,151.78E,7,1993,,,
8/1/1993,15.229,Sydney,34.56S,151.78E,8,1993,,,
9/1/1993,15.295,Sydney,34.56S,151.78E,9,1993,,,
10/1/1993,16.511,Sydney,34.56S,151.78E,10,1993,,,
11/1/1993,17.123,Sydney,34.56S,151.78E,11,1993,,,
12/1/1993,19.168,Sydney,34.56S,151.78E,12,1993,,,
1/1/1994,20.88,Sydney,34.56S,151.78E,1,1994,,,
2/1/1994,20.77,Sydney,34.56S,151.78E,2,1994,,,
3/1/1994,18.247,Sydney,34.56S,151.78E,3,1994,,,
4/1/1994,18.502,Sydney,34.56S,151.78E,4,1994,,,
5/1/1994,17.016,Sydney,34.56S,151.78E,5,1994,,,
6/1/1994,15.367,Sydney,34.56S,151.78E,6,1994,,,
7/1/1994,14.535,Sydney,34.56S,151.78E,7,1994,,,
8/1/1994,14.122,Sydney,34.56S,151.78E,8,1994,,,
9/1/1994,15.422,Sydney,34.56S,151.78E,9,1994,,,
10/1/1994,16.151,Sydney,34.56S,151.78E,10,1994,,,
11/1/1994,18.311,Sydney,34.56S,151.78E,11,1994,,,
12/1/1994,18.969,Sydney,34.56S,151.78E,12,1994,,,
1/1/1995,18.928,Sydney,34.56S,151.78E,1,1995,,,
2/1/1995,19.43,Sydney,34.56S,151.78E,2,1995,,,
3/1/1995,19.07,Sydney,34.56S,151.78E,3,1995,,,
4/1/1995,17.07,Sydney,34.56S,151.78E,4,1995,,,
5/1/1995,17.444,Sydney,34.56S,151.78E,5,1995,,,
6/1/1995,15.12,Sydney,34.56S,151.78E,6,1995,,,
7/1/1995,13.501,Sydney,34.56S,151.78E,7,1995,,,
8/1/1995,16.034,Sydney,34.56S,151.78E,8,1995,,,
9/1/1995,15.131,Sydney,34.56S,151.78E,9,1995,,,
10/1/1995,16.412,Sydney,34.56S,151.78E,10,1995,,,
11/1/1995,17.937,Sydney,34.56S,151.78E,11,1995,,,
12/1/1995,17.311,Sydney,34.56S,151.78E,12,1995,,,
1/1/1996,19.444,Sydney,34.56S,151.78E,1,1996,,,
2/1/1996,18.715,Sydney,34.56S,151.78E,2,1996,,,
3/1/1996,18.975,Sydney,34.56S,151.78E,3,1996,,,
4/1/1996,17.548,Sydney,34.56S,151.78E,4,1996,,,
5/1/1996,17.393,Sydney,34.56S,151.78E,5,1996,,,
6/1/1996,15.858,Sydney,34.56S,151.78E,6,1996,,,
7/1/1996,14.203,Sydney,34.56S,151.78E,7,1996,,,
8/1/1996,14.737,Sydney,34.56S,151.78E,8,1996,,,
9/1/1996,16.316,Sydney,34.56S,151.78E,9,1996,,,
10/1/1996,16.584,Sydney,34.56S,151.78E,10,1996,,,
11/1/1996,16.902,Sydney,34.56S,151.78E,11,1996,,,
12/1/1996,17.878,Sydney,34.56S,151.78E,12,1996,,,
1/1/1997,18.037,Sydney,34.56S,151.78E,1,1997,,,
2/1/1997,20.403,Sydney,34.56S,151.78E,2,1997,,,
3/1/1997,19.839,Sydney,34.56S,151.78E,3,1997,,,
4/1/1997,18.519,Sydney,34.56S,151.78E,4,1997,,,
5/1/1997,17.227,Sydney,34.56S,151.78E,5,1997,,,
6/1/1997,15.132,Sydney,34.56S,151.78E,6,1997,,,
7/1/1997,14.203,Sydney,34.56S,151.78E,7,1997,,,
8/1/1997,14.573,Sydney,34.56S,151.78E,8,1997,,,
9/1/1997,15.306,Sydney,34.56S,151.78E,9,1997,,,
10/1/1997,17.134,Sydney,34.56S,151.78E,10,1997,,,
11/1/1997,19.198,Sydney,34.56S,151.78E,11,1997,,,
12/1/1997,20.561,Sydney,34.56S,151.78E,12,1997,,,
1/1/1998,20.87,Sydney,34.56S,151.78E,1,1998,,,
2/1/1998,22.042,Sydney,34.56S,151.78E,2,1998,,,
3/1/1998,21.166,Sydney,34.56S,151.78E,3,1998,,,
4/1/1998,19.073,Sydney,34.56S,151.78E,4,1998,,,
5/1/1998,17.528,Sydney,34.56S,151.78E,5,1998,,,
6/1/1998,15.852,Sydney,34.56S,151.78E,6,1998,,,
7/1/1998,14.423,Sydney,34.56S,151.78E,7,1998,,,
8/1/1998,15.291,Sydney,34.56S,151.78E,8,1998,,,
9/1/1998,17.109,Sydney,34.56S,151.78E,9,1998,,,
10/1/1998,17.225,Sydney,34.56S,151.78E,10,1998,,,
11/1/1998,16.486,Sydney,34.56S,151.78E,11,1998,,,
12/1/1998,19.532,Sydney,34.56S,151.78E,12,1998,,,
1/1/1999,20.924,Sydney,34.56S,151.78E,1,1999,,,
2/1/1999,20.156,Sydney,34.56S,151.78E,2,1999,,,
3/1/1999,20.488,Sydney,34.56S,151.78E,3,1999,,,
4/1/1999,17.335,Sydney,34.56S,151.78E,4,1999,,,
5/1/1999,17.538,Sydney,34.56S,151.78E,5,1999,,,
6/1/1999,15.563,Sydney,34.56S,151.78E,6,1999,,,
7/1/1999,15.104,Sydney,34.56S,151.78E,7,1999,,,
8/1/1999,15.176,Sydney,34.56S,151.78E,8,1999,,,
9/1/1999,16.232,Sydney,34.56S,151.78E,9,1999,,,
10/1/1999,17.382,Sydney,34.56S,151.78E,10,1999,,,
11/1/1999,16.514,Sydney,34.56S,151.78E,11,1999,,,
12/1/1999,18.151,Sydney,34.56S,151.78E,12,1999,,,
1/1/2000,18.47,Sydney,34.56S,151.78E,1,2000,,,
2/1/2000,20.713,Sydney,34.56S,151.78E,2,2000,,,
3/1/2000,20.22,Sydney,34.56S,151.78E,3,2000,,,
4/1/2000,18.602,Sydney,34.56S,151.78E,4,2000,,,
5/1/2000,16.614,Sydney,34.56S,151.78E,5,2000,,,
6/1/2000,14.454,Sydney,34.56S,151.78E,6,2000,,,
7/1/2000,14.735,Sydney,34.56S,151.78E,7,2000,,,
8/1/2000,14.474,Sydney,34.56S,151.78E,8,2000,,,
9/1/2000,16.932,Sydney,34.56S,151.78E,9,2000,,,
10/1/2000,17.032,Sydney,34.56S,151.78E,10,2000,,,
11/1/2000,18.132,Sydney,34.56S,151.78E,11,2000,,,
12/1/2000,20.431,Sydney,34.56S,151.78E,12,2000,,,
1/1/1900,20.017,Melbourne,37.78S,144.41E,1,1900,13.2623444,,
2/1/1900,19.309,Melbourne,37.78S,144.41E,2,1900,,,
3/1/1900,16.249,Melbourne,37.78S,144.41E,3,1900,,,
4/1/1900,11.884,Melbourne,37.78S,144.41E,4,1900,,,
5/1/1900,10.292,Melbourne,37.78S,144.41E,5,1900,,,
6/1/1900,8.698,Melbourne,37.78S,144.41E,6,1900,,,
7/1/1900,7.332,Melbourne,37.78S,144.41E,7,1900,,,
8/1/1900,7.556,Melbourne,37.78S,144.41E,8,1900,,,
9/1/1900,9.697,Melbourne,37.78S,144.41E,9,1900,,,
10/1/1900,12.39,Melbourne,37.78S,144.41E,10,1900,,,
11/1/1900,14.991,Melbourne,37.78S,144.41E,11,1900,,,
12/1/1900,17.346,Melbourne,37.78S,144.41E,12,1900,,,
1/1/1901,17.565,Melbourne,37.78S,144.41E,1,1901,13.25969432,-0.002650075,0.246315045
2/1/1901,20.177,Melbourne,37.78S,144.41E,2,1901,,,
3/1/1901,17.206,Melbourne,37.78S,144.41E,3,1901,,,
4/1/1901,12.897,Melbourne,37.78S,144.41E,4,1901,,,
5/1/1901,11.174,Melbourne,37.78S,144.41E,5,1901,,,
6/1/1901,6.918,Melbourne,37.78S,144.41E,6,1901,,,
7/1/1901,6.677,Melbourne,37.78S,144.41E,7,1901,,,
8/1/1901,8.29,Melbourne,37.78S,144.41E,8,1901,,,
9/1/1901,11.403,Melbourne,37.78S,144.41E,9,1901,,,
10/1/1901,12.544,Melbourne,37.78S,144.41E,10,1901,,,
11/1/1901,17.216,Melbourne,37.78S,144.41E,11,1901,,,
12/1/1901,17.943,Melbourne,37.78S,144.41E,12,1901,,,
1/1/1902,18.453,Melbourne,37.78S,144.41E,1,1902,13.17096943,-0.088724891,-0.020510917
2/1/1902,17.674,Melbourne,37.78S,144.41E,2,1902,,,
3/1/1902,16.135,Melbourne,37.78S,144.41E,3,1902,,,
4/1/1902,13.887,Melbourne,37.78S,144.41E,4,1902,,,
5/1/1902,11.117,Melbourne,37.78S,144.41E,5,1902,,,
6/1/1902,8.279,Melbourne,37.78S,144.41E,6,1902,,,
7/1/1902,7.908,Melbourne,37.78S,144.41E,7,1902,,,
8/1/1902,7.692,Melbourne,37.78S,144.41E,8,1902,,,
9/1/1902,10.527,Melbourne,37.78S,144.41E,9,1902,,,
10/1/1902,13.455,Melbourne,37.78S,144.41E,10,1902,,,
11/1/1902,17.461,Melbourne,37.78S,144.41E,11,1902,,,
12/1/1902,17.568,Melbourne,37.78S,144.41E,12,1902,,,
1/1/1903,18.271,Melbourne,37.78S,144.41E,1,1903,13.56886463,0.397895197,0.154462882
2/1/1903,18.254,Melbourne,37.78S,144.41E,2,1903,,,
3/1/1903,17.729,Melbourne,37.78S,144.41E,3,1903,,,
4/1/1903,13.466,Melbourne,37.78S,144.41E,4,1903,,,
5/1/1903,9.887,Melbourne,37.78S,144.41E,5,1903,,,
6/1/1903,7.63,Melbourne,37.78S,144.41E,6,1903,,,
7/1/1903,7.41,Melbourne,37.78S,144.41E,7,1903,,,
8/1/1903,8.254,Melbourne,37.78S,144.41E,8,1903,,,
9/1/1903,10.832,Melbourne,37.78S,144.41E,9,1903,,,
10/1/1903,13.969,Melbourne,37.78S,144.41E,10,1903,,,
11/1/1903,16.027,Melbourne,37.78S,144.41E,11,1903,,,
12/1/1903,16.468,Melbourne,37.78S,144.41E,12,1903,,,
1/1/1904,17.9,Melbourne,37.78S,144.41E,1,1904,13.7298559,0.160991266,0.344152838
2/1/1904,18.064,Melbourne,37.78S,144.41E,2,1904,,,
3/1/1904,15.614,Melbourne,37.78S,144.41E,3,1904,,,
4/1/1904,15.46,Melbourne,37.78S,144.41E,4,1904,,,
5/1/1904,11.677,Melbourne,37.78S,144.41E,5,1904,,,
6/1/1904,8.664,Melbourne,37.78S,144.41E,6,1904,,,
7/1/1904,7.787,Melbourne,37.78S,144.41E,7,1904,,,
8/1/1904,8.476,Melbourne,37.78S,144.41E,8,1904,,,
9/1/1904,9.121,Melbourne,37.78S,144.41E,9,1904,,,
10/1/1904,12.898,Melbourne,37.78S,144.41E,10,1904,,,
11/1/1904,14.96,Melbourne,37.78S,144.41E,11,1904,,,
12/1/1904,17.717,Melbourne,37.78S,144.41E,12,1904,,,
1/1/1905,20.117,Melbourne,37.78S,144.41E,1,1905,,,
2/1/1905,17.638,Melbourne,37.78S,144.41E,2,1905,,,
3/1/1905,16.555,Melbourne,37.78S,144.41E,3,1905,,,
4/1/1905,14.376,Melbourne,37.78S,144.41E,4,1905,,,
5/1/1905,11.484,Melbourne,37.78S,144.41E,5,1905,,,
6/1/1905,8.723,Melbourne,37.78S,144.41E,6,1905,,,
7/1/1905,7.311,Melbourne,37.78S,144.41E,7,1905,,,
8/1/1905,8.402,Melbourne,37.78S,144.41E,8,1905,,,
9/1/1905,7.993,Melbourne,37.78S,144.41E,9,1905,,,
10/1/1905,9.913,Melbourne,37.78S,144.41E,10,1905,,,
11/1/1905,14.197,Melbourne,37.78S,144.41E,11,1905,,,
12/1/1905,16.139,Melbourne,37.78S,144.41E,12,1905,,,
1/1/1906,19.89,Melbourne,37.78S,144.41E,1,1906,21.55209544,,
2/1/1906,20.796,Melbourne,37.78S,144.41E,2,1906,,,
3/1/1906,16.656,Melbourne,37.78S,144.41E,3,1906,,,
4/1/1906,13.979,Melbourne,37.78S,144.41E,4,1906,,,
5/1/1906,10.916,Melbourne,37.78S,144.41E,5,1906,,,
6/1/1906,9.521,Melbourne,37.78S,144.41E,6,1906,,,
7/1/1906,7.917,Melbourne,37.78S,144.41E,7,1906,,,
8/1/1906,8.258,Melbourne,37.78S,144.41E,8,1906,,,
9/1/1906,10.389,Melbourne,37.78S,144.41E,9,1906,,,
10/1/1906,12.413,Melbourne,37.78S,144.41E,10,1906,,,
11/1/1906,13.144,Melbourne,37.78S,144.41E,11,1906,,,
12/1/1906,17.058,Melbourne,37.78S,144.41E,12,1906,,,
1/1/1907,18.207,Melbourne,37.78S,144.41E,1,1907,21.79841048,,
2/1/1907,17.868,Melbourne,37.78S,144.41E,2,1907,,,
3/1/1907,15.511,Melbourne,37.78S,144.41E,3,1907,,,
4/1/1907,12.705,Melbourne,37.78S,144.41E,4,1907,,,
5/1/1907,11.305,Melbourne,37.78S,144.41E,5,1907,,,
6/1/1907,8.034,Melbourne,37.78S,144.41E,6,1907,,,
7/1/1907,7.226,Melbourne,37.78S,144.41E,7,1907,,,
8/1/1907,9.384,Melbourne,37.78S,144.41E,8,1907,,,
9/1/1907,11.209,Melbourne,37.78S,144.41E,9,1907,,,
10/1/1907,12.647,Melbourne,37.78S,144.41E,10,1907,,,
11/1/1907,16.402,Melbourne,37.78S,144.41E,11,1907,,,
12/1/1907,16.642,Melbourne,37.78S,144.41E,12,1907,,,
1/1/1908,23.013,Melbourne,37.78S,144.41E,1,1908,21.77789956,,
2/1/1908,19.972,Melbourne,37.78S,144.41E,2,1908,,,
3/1/1908,16.603,Melbourne,37.78S,144.41E,3,1908,,,
4/1/1908,13.955,Melbourne,37.78S,144.41E,4,1908,,,
5/1/1908,10.049,Melbourne,37.78S,144.41E,5,1908,,,
6/1/1908,6.954,Melbourne,37.78S,144.41E,6,1908,,,
7/1/1908,7.209,Melbourne,37.78S,144.41E,7,1908,,,
8/1/1908,7.935,Melbourne,37.78S,144.41E,8,1908,,,
9/1/1908,9.738,Melbourne,37.78S,144.41E,9,1908,,,
10/1/1908,12.5,Melbourne,37.78S,144.41E,10,1908,,,
11/1/1908,16.213,Melbourne,37.78S,144.41E,11,1908,,,
12/1/1908,18.013,Melbourne,37.78S,144.41E,12,1908,,,
1/1/1909,17.739,Melbourne,37.78S,144.41E,1,1909,21.93236245,,
2/1/1909,18.093,Melbourne,37.78S,144.41E,2,1909,,,
3/1/1909,16.886,Melbourne,37.78S,144.41E,3,1909,,,
4/1/1909,11.458,Melbourne,37.78S,144.41E,4,1909,,,
5/1/1909,10.046,Melbourne,37.78S,144.41E,5,1909,,,
6/1/1909,8.395,Melbourne,37.78S,144.41E,6,1909,,,
7/1/1909,7.17,Melbourne,37.78S,144.41E,7,1909,,,
8/1/1909,8.245,Melbourne,37.78S,144.41E,8,1909,,,
9/1/1909,10.133,Melbourne,37.78S,144.41E,9,1909,,,
10/1/1909,12.487,Melbourne,37.78S,144.41E,10,1909,,,
11/1/1909,15.125,Melbourne,37.78S,144.41E,11,1909,,,
12/1/1909,15.657,Melbourne,37.78S,144.41E,12,1909,,,
1/1/1910,19.381,Melbourne,37.78S,144.41E,1,1910,22.27651528,,
2/1/1910,19.8,Melbourne,37.78S,144.41E,2,1910,,,
3/1/1910,17.404,Melbourne,37.78S,144.41E,3,1910,,,
4/1/1910,14.204,Melbourne,37.78S,144.41E,4,1910,,,
5/1/1910,11.355,Melbourne,37.78S,144.41E,5,1910,,,
6/1/1910,9.041,Melbourne,37.78S,144.41E,6,1910,,,
7/1/1910,7.855,Melbourne,37.78S,144.41E,7,1910,,,
8/1/1910,9.543,Melbourne,37.78S,144.41E,8,1910,,,
9/1/1910,10.837,Melbourne,37.78S,144.41E,9,1910,,,
10/1/1910,11.254,Melbourne,37.78S,144.41E,10,1910,,,
11/1/1910,15.549,Melbourne,37.78S,144.41E,11,1910,,,
12/1/1910,15.449,Melbourne,37.78S,144.41E,12,1910,,,
1/1/1911,18.5,Melbourne,37.78S,144.41E,1,1911,,,
2/1/1911,18.77,Melbourne,37.78S,144.41E,2,1911,,,
3/1/1911,16.445,Melbourne,37.78S,144.41E,3,1911,,,
4/1/1911,12.178,Melbourne,37.78S,144.41E,4,1911,,,
5/1/1911,11.093,Melbourne,37.78S,144.41E,5,1911,,,
6/1/1911,7.378,Melbourne,37.78S,144.41E,6,1911,,,
7/1/1911,7.131,Melbourne,37.78S,144.41E,7,1911,,,
8/1/1911,10.463,Melbourne,37.78S,144.41E,8,1911,,,
9/1/1911,11.34,Melbourne,37.78S,144.41E,9,1911,,,
10/1/1911,12.137,Melbourne,37.78S,144.41E,10,1911,,,
11/1/1911,16.213,Melbourne,37.78S,144.41E,11,1911,,,
12/1/1911,15.925,Melbourne,37.78S,144.41E,12,1911,,,
1/1/1912,18.171,Melbourne,37.78S,144.41E,1,1912,,,
2/1/1912,20.522,Melbourne,37.78S,144.41E,2,1912,,,
3/1/1912,17.569,Melbourne,37.78S,144.41E,3,1912,,,
4/1/1912,12.715,Melbourne,37.78S,144.41E,4,1912,,,
5/1/1912,10.345,Melbourne,37.78S,144.41E,5,1912,,,
6/1/1912,8.886,Melbourne,37.78S,144.41E,6,1912,,,
7/1/1912,7.505,Melbourne,37.78S,144.41E,7,1912,,,
8/1/1912,9.29,Melbourne,37.78S,144.41E,8,1912,,,
9/1/1912,10.181,Melbourne,37.78S,144.41E,9,1912,,,
10/1/1912,12.368,Melbourne,37.78S,144.41E,10,1912,,,
11/1/1912,14.279,Melbourne,37.78S,144.41E,11,1912,,,
12/1/1912,16.091,Melbourne,37.78S,144.41E,12,1912,,,
1/1/1913,17.548,Melbourne,37.78S,144.41E,1,1913,,,
2/1/1913,19.234,Melbourne,37.78S,144.41E,2,1913,,,
3/1/1913,15.405,Melbourne,37.78S,144.41E,3,1913,,,
4/1/1913,14.597,Melbourne,37.78S,144.41E,4,1913,,,
5/1/1913,10.065,Melbourne,37.78S,144.41E,5,1913,,,
6/1/1913,8.345,Melbourne,37.78S,144.41E,6,1913,,,
7/1/1913,8.4,Melbourne,37.78S,144.41E,7,1913,,,
8/1/1913,8.704,Melbourne,37.78S,144.41E,8,1913,,,
9/1/1913,10.474,Melbourne,37.78S,144.41E,9,1913,,,
10/1/1913,12.931,Melbourne,37.78S,144.41E,10,1913,,,
11/1/1913,13.469,Melbourne,37.78S,144.41E,11,1913,,,
12/1/1913,18.238,Melbourne,37.78S,144.41E,12,1913,,,
1/1/1914,18.383,Melbourne,37.78S,144.41E,1,1914,,,
2/1/1914,20.713,Melbourne,37.78S,144.41E,2,1914,,,
3/1/1914,18.845,Melbourne,37.78S,144.41E,3,1914,,,
4/1/1914,13.778,Melbourne,37.78S,144.41E,4,1914,,,
5/1/1914,11.086,Melbourne,37.78S,144.41E,5,1914,,,
6/1/1914,8.746,Melbourne,37.78S,144.41E,6,1914,,,
7/1/1914,7.264,Melbourne,37.78S,144.41E,7,1914,,,
8/1/1914,9.556,Melbourne,37.78S,144.41E,8,1914,,,
9/1/1914,10.536,Melbourne,37.78S,144.41E,9,1914,,,
10/1/1914,15.279,Melbourne,37.78S,144.41E,10,1914,,,
11/1/1914,17.377,Melbourne,37.78S,144.41E,11,1914,,,
12/1/1914,17.989,Melbourne,37.78S,144.41E,12,1914,,,
1/1/1915,18.505,Melbourne,37.78S,144.41E,1,1915,,,
2/1/1915,19.427,Melbourne,37.78S,144.41E,2,1915,,,
3/1/1915,16.382,Melbourne,37.78S,144.41E,3,1915,,,
4/1/1915,13.458,Melbourne,37.78S,144.41E,4,1915,,,
5/1/1915,10.143,Melbourne,37.78S,144.41E,5,1915,,,
6/1/1915,8.734,Melbourne,37.78S,144.41E,6,1915,,,
7/1/1915,8.962,Melbourne,37.78S,144.41E,7,1915,,,
8/1/1915,9.145,Melbourne,37.78S,144.41E,8,1915,,,
9/1/1915,10.888,Melbourne,37.78S,144.41E,9,1915,,,
10/1/1915,11.625,Melbourne,37.78S,144.41E,10,1915,,,
11/1/1915,13.58,Melbourne,37.78S,144.41E,11,1915,,,
12/1/1915,16.685,Melbourne,37.78S,144.41E,12,1915,,,
1/1/1916,19.111,Melbourne,37.78S,144.41E,1,1916,,,
2/1/1916,18.822,Melbourne,37.78S,144.41E,2,1916,,,
3/1/1916,16.563,Melbourne,37.78S,144.41E,3,1916,,,
4/1/1916,12.913,Melbourne,37.78S,144.41E,4,1916,,,
5/1/1916,10.474,Melbourne,37.78S,144.41E,5,1916,,,
6/1/1916,8.113,Melbourne,37.78S,144.41E,6,1916,,,
7/1/1916,7.787,Melbourne,37.78S,144.41E,7,1916,,,
8/1/1916,8.24,Melbourne,37.78S,144.41E,8,1916,,,
9/1/1916,11.473,Melbourne,37.78S,144.41E,9,1916,,,
10/1/1916,12.123,Melbourne,37.78S,144.41E,10,1916,,,
11/1/1916,13.377,Melbourne,37.78S,144.41E,11,1916,,,
12/1/1916,17.208,Melbourne,37.78S,144.41E,12,1916,,,
1/1/1917,18.524,Melbourne,37.78S,144.41E,1,1917,,,
2/1/1917,17.915,Melbourne,37.78S,144.41E,2,1917,,,
3/1/1917,16.25,Melbourne,37.78S,144.41E,3,1917,,,
4/1/1917,11.868,Melbourne,37.78S,144.41E,4,1917,,,
5/1/1917,9.721,Melbourne,37.78S,144.41E,5,1917,,,
6/1/1917,8.284,Melbourne,37.78S,144.41E,6,1917,,,
7/1/1917,8.187,Melbourne,37.78S,144.41E,7,1917,,,
8/1/1917,9.154,Melbourne,37.78S,144.41E,8,1917,,,
9/1/1917,10.658,Melbourne,37.78S,144.41E,9,1917,,,
10/1/1917,12.322,Melbourne,37.78S,144.41E,10,1917,,,
11/1/1917,14.461,Melbourne,37.78S,144.41E,11,1917,,,
12/1/1917,18.664,Melbourne,37.78S,144.41E,12,1917,,,
1/1/1918,20.098,Melbourne,37.78S,144.41E,1,1918,,,
2/1/1918,18.935,Melbourne,37.78S,144.41E,2,1918,,,
3/1/1918,16.76,Melbourne,37.78S,144.41E,3,1918,,,
4/1/1918,13.375,Melbourne,37.78S,144.41E,4,1918,,,
5/1/1918,11.653,Melbourne,37.78S,144.41E,5,1918,,,
6/1/1918,9.289,Melbourne,37.78S,144.41E,6,1918,,,
7/1/1918,7.482,Melbourne,37.78S,144.41E,7,1918,,,
8/1/1918,9.584,Melbourne,37.78S,144.41E,8,1918,,,
9/1/1918,11.186,Melbourne,37.78S,144.41E,9,1918,,,
10/1/1918,11.646,Melbourne,37.78S,144.41E,10,1918,,,
11/1/1918,14.335,Melbourne,37.78S,144.41E,11,1918,,,
12/1/1918,16.963,Melbourne,37.78S,144.41E,12,1918,,,
1/1/1919,18.094,Melbourne,37.78S,144.41E,1,1919,,,
2/1/1919,20.921,Melbourne,37.78S,144.41E,2,1919,,,
3/1/1919,15.532,Melbourne,37.78S,144.41E,3,1919,,,
4/1/1919,15.124,Melbourne,37.78S,144.41E,4,1919,,,
5/1/1919,11.52,Melbourne,37.78S,144.41E,5,1919,,,
6/1/1919,8.789,Melbourne,37.78S,144.41E,6,1919,,,
7/1/1919,7.402,Melbourne,37.78S,144.41E,7,1919,,,
8/1/1919,9.077,Melbourne,37.78S,144.41E,8,1919,,,
9/1/1919,11.425,Melbourne,37.78S,144.41E,9,1919,,,
10/1/1919,13.267,Melbourne,37.78S,144.41E,10,1919,,,
11/1/1919,16.645,Melbourne,37.78S,144.41E,11,1919,,,
12/1/1919,18.622,Melbourne,37.78S,144.41E,12,1919,,,
1/1/1920,17.651,Melbourne,37.78S,144.41E,1,1920,,,
2/1/1920,19.91,Melbourne,37.78S,144.41E,2,1920,,,
3/1/1920,16.284,Melbourne,37.78S,144.41E,3,1920,,,
4/1/1920,13.303,Melbourne,37.78S,144.41E,4,1920,,,
5/1/1920,9.325,Melbourne,37.78S,144.41E,5,1920,,,
6/1/1920,8.6,Melbourne,37.78S,144.41E,6,1920,,,
7/1/1920,7.945,Melbourne,37.78S,144.41E,7,1920,,,
8/1/1920,8.525,Melbourne,37.78S,144.41E,8,1920,,,
9/1/1920,10.905,Melbourne,37.78S,144.41E,9,1920,,,
10/1/1920,13.387,Melbourne,37.78S,144.41E,10,1920,,,
11/1/1920,15.122,Melbourne,37.78S,144.41E,11,1920,,,
12/1/1920,18.075,Melbourne,37.78S,144.41E,12,1920,,,
1/1/1921,20.088,Melbourne,37.78S,144.41E,1,1921,,,
2/1/1921,20.838,Melbourne,37.78S,144.41E,2,1921,,,
3/1/1921,17.32,Melbourne,37.78S,144.41E,3,1921,,,
4/1/1921,14.049,Melbourne,37.78S,144.41E,4,1921,,,
5/1/1921,12.044,Melbourne,37.78S,144.41E,5,1921,,,
6/1/1921,9.281,Melbourne,37.78S,144.41E,6,1921,,,
7/1/1921,8.612,Melbourne,37.78S,144.41E,7,1921,,,
8/1/1921,8.575,Melbourne,37.78S,144.41E,8,1921,,,
9/1/1921,11.502,Melbourne,37.78S,144.41E,9,1921,,,
10/1/1921,12.404,Melbourne,37.78S,144.41E,10,1921,,,
11/1/1921,16.239,Melbourne,37.78S,144.41E,11,1921,,,
12/1/1921,16.562,Melbourne,37.78S,144.41E,12,1921,,,
1/1/1922,18.203,Melbourne,37.78S,144.41E,1,1922,,,
2/1/1922,19.981,Melbourne,37.78S,144.41E,2,1922,,,
3/1/1922,16.463,Melbourne,37.78S,144.41E,3,1922,,,
4/1/1922,14.574,Melbourne,37.78S,144.41E,4,1922,,,
5/1/1922,11.154,Melbourne,37.78S,144.41E,5,1922,,,
6/1/1922,8.277,Melbourne,37.78S,144.41E,6,1922,,,
7/1/1922,8.334,Melbourne,37.78S,144.41E,7,1922,,,
8/1/1922,7.926,Melbourne,37.78S,144.41E,8,1922,,,
9/1/1922,10.345,Melbourne,37.78S,144.41E,9,1922,,,
